idx,class,conversation
1129,3,"야 너 여자친구가 이근처 산다고했지?
네 맞습니다
여자친구는 보러가면서 여기 나올 시간은 없냐?
죄송합니다.
이거 정신 못차렸네 야 너랑 너 여자친구랑 같이 창자를 확 담궈버릴까?
정말 죄송합니다.
다 죽여버리는 수가 있어. 나 열받으면 아무것도 눈에 안뵈는 사람이야.
정신차리겠습니다.
말로만 하는거 같지? 진짜 나는 실행으로 옮길 수 있는 사람이야. 잘해.
네 알겠습니다. 죄송합니다."
1131,3,"돈 언제 갚을거야?
 곧 갚겠습니다.
 아이씨 그 말만 몇번째야?!?!
 죄송합니다.그치만 지금 당장은.
 야 시끄럽고 돈 없으면 장기 하나 팔아
 네??무슨 말씀이세요.
 돈 없으면 장기하나 팔라고! 너가 빌린돈 갚으러면 신장둘다 떼면 되겠다
 그거 다 떼면 죽는거 아닌가요?
 내 알바야? 꼬우면 갚던가
 곧 갚겠습니다.살려주세요
 형님한테 전화한다"
1138,3,"야 너 이 시키 누가 성적을 이 따위로 하라고 했어 발가락 하나 부러뜨려 줄까?
죄송해요 아버지 제발 때리지 말아주세요
시키가 가문의 명예를 실추시키지마!
네.
목소리 봐라 의지력이 그 따위니까 넌 평생 맞으면서 사는거야
아니 사랑해서 앞으로 잘살아라는 의미도 아니고 고작 가문의 명예 때문에.
넌 이제 보니 발가락이 아니라 어디 놀러 다니지 못하게 다리를 부러뜨려야 겠구나
정말 너무하세요
먹여 살려준것도 고마운줄 모르고 일단 다리 대라 부러뜨려줄께"
1142,3,"죽어 이새끼야
자기야 그 칼 내려놓고 말해 응?
내가 못할거같아? 죽여버릴꺼야
제발 자기야 제발 이러면 너만 다쳐
오늘 황천길은 니가 걷겠지 멍청한 놈
아악! 악! 칼 내려놓으라고! 내가 다시 만날께!
그래? 날 다시 사랑해준다는거야?
그럼그럼 난 너밖에 없잖아
그말을 어떻게 믿지?
제발 그칼부터."
1144,3,"야 너네 집 고시원이라며?
 어어? 어.
고시원이 이 차보다 크데 너 아직 정신 못차린 것 같아서 교육을 좀 해주려고 거기서 갇혀 있으면서 생각 좀 해봐 뭘 잘못했는지
내가 미안해 내가 잘못했어.
넌 잘못한거 없어 우리 앞에 나타난게 잘못이지.
제발 살려줘 얘들아 문을 열어줘.
열고 나와. 곧 그차 폭발하거든 그러니까 살고 싶으면 그 전에 나와야겠네?
제발 부탁이야 꺼내줘. 앞으로 안 나타날게
거기에 갇히는 것도 안 나타나는 방법이야.
제발 살려줘 애들아."
1145,3,"왜 이렇게 시끄러워?
그렇다고 애를 묶어 둬요?
다리를 확 부러뜨려 버릴까보다.
아니 아이가 좀 뛰었다고 협박하는 거야?
못 할 거 같아? 
내가 하게 가만히 있을 거 같아?
애가 항상 너랑 있는 건 아니지.
무슨 말이야?
담에 또 뛰기만 해 봐. 진짜 부러뜨릴 거니까.
뭐야 당신!"
1153,3,"이봐. 아저씨. 차를 이렇게 주차하면 어떡해?
아니 언제 봤다고 반말이야?
기분 나빠? 나도 당신 차 때문에 주차할 데가 없어서 기분 나빠.
주차장이 여기 밖에 없어? 왜 시비냐고. 너 내가 누구아지 알아?
누구든 말든 내가 알 바 아니고 차나 빨리 빼라고.
아 진짜 혼나고 싶나. 너 이리와봐.
누구더러 오라 가라야. 그 입 잘라버리기 전에 조용히 차 빼라.
뭐? 입을 잘라? 말 다했냐?
아니? 뭐 다른 데도 잘라줘?
너 진짜 열받게 하지 말고 조용히 다른 데에 주차해라."
1162,3,"야 니가 선생님한테 일렀냐?
응? 아니. 내가 왜 일러.
머래 아까 담임이 다 말했거든 이게 뒤지고 싶나
아. 아니야. .미안해
내가 너 때문에 교무실도 왔다갔다 했으니까 하나는 너도 줘야지. 나도 고생했는데?
어? 아니야. 내가 잘못했어
잘못 이미 늦었어 알지? 너 저기서봐. 진짜 너 죽이고 싶으니까 죽이고 싶은만큼 쳐 맞어야지
어? 미안해 내가 잘못했어 앞으로는 말안할게
이미 늦었어 너 그럴 수록 진짜 죽음에 더 가까워져 진짜 내가 살인하게 하지말고 저기 서있어야지
아니야. 미안해. 살려줘"
1167,3,"너 어제 보스한테 개긴거 사실이야.?
죄송합니다
그럼 댓가를 치러야지
어떻게 할까요 형님?
7번 가져와
저걸로 맞으면 뇌진탕에 즉사야 너
아냐 죽으면재미없지 살살 쳐줄게
제발 용서해주세요 형님
요즘 공친지 오래되서 잘맞을지 모르겠네
아니면 그냥 바다에 담궈버릴까요?"
1169,3,"아니 이장을 그두번이나 했으니 이제는 내가 할라네
자네가 무슨 이장을 한다 그러나?
한명이 그렇게 오래해도 문제가 생기기 마련이네
내가 무슨 문제를 일으키는 사람같이 들려서 기분이 안좋구만?
그렇게 들렸다면 미안하네
미안할짓을 하지말든가 빈정상하게 하네
그건 아니네 그런 뜻은 아니니 오해말게
아 씨 이미 오해 했는데 무슨 오해를 하지 말라는거야? 내가 너 이장하게 둘것같아?
왜그러나.
이장은 무슨 콱시 이걸로 쳐버릴까보다
손에 든거 내려놓게 위험하네
지만 아주 그냥 성인군자지 그렇게 옳은말 바른말만 하니까자네 와이프가 못견디고 바람나서 도망간거 아닌가?
무슨 말을 그렇게하나
시작은 자네가 먼저 했네"
1175,3,"내가 말하는게 우습냐?
미미안해.
우습냐고 새끼야
내가 뭘 잘못했는지 모르겠어 미안해
니가 뭘 잘못한지 모르는게 잘못이야 새끼야 알겠어?
.억울해.
억울해? 하긴 생긴게 좀 억울하게 생겼다 내가 코좀 비틀어줄까? 그럼 좀 덜 억울해보일것같은데?
하.하지마.잘못했어
아까는 뭘 잘못했는지 모르겠다며 새끼야 억울하게 생긴 니얼굴 내가 좀 고쳐준다는데
하.하지마. 제발"
1182,3,"물건 구해오라고 한 지 한참 지났는데 왜 아직 소식이 없지?
그게 찾기가 어려워서.
누가 변명하라고 했지? 그거 아나?
네.?
이 일을 맡긴게 자네가 5번째라는거. 
그게 무슨 말씀인지.
전에 일을 맡았던 자가 어떻게 되었을까? 다 땅 속 거름이 되었지.
히이익.!
그러니까 죽기 싫으면 빨리 구해오는게 좋을거야.
최대한 빨리 구해오겠습니다."
1183,3,"깜찍한 짓을 하셨네?
그게 내가 시킨 게 아니라 위에서.!
아아. 위에서 나를 칼로 찌르라고 시켰다. 이 말씀이십니까?
그 그래. 내가 무슨 이익을 얻자고 널 죽이겠니.
그런데 어쩌지. 내 생각은 다른데.
아니라니까!!! 그 칼 내려놔. 어? 
목숨값은 목숨으로. 내 신조가 그래서 말이야.
아악. 안돼.
안되기는.
잠깐만!!! 잠깐. 네가 시키는 대로 할게. 어? 어떻게 할까?
시키는 대로? 간이라도 꺼내줄거야?
간? 간 내놓는 심정으로 움직일게! 어? 말만 해!"
1195,3,"지금 뭐하는 거에요!?
누구쇼?
아니 저희 바로 옆 집에 똑같은 메뉴로 비슷한 간판으로 장사를 하시면 어떻게 하자는 거에요!?
아니 아줌마 여기 온 땅 다 아줌마꺼야? 내가 내 돈내고 장사한다는데 
그게 아니라 아저씨 . 생각을 해봐요. 지금 저희 가게 죽이려고 그러시는 거잖아요.
웃기는 아줌마네. 어이 내가 불법으로 한 것도 아니고 당당하게 한 건데 어? 지금 나랑 한 판 해보자는거여? 어?!
아저씨 그 칼 내려놔요. 뭐하는거에요.!
지금 아줌마가 나랑 싸우고 싶어서 덤비러 온 거 아니야? 어? 해주겠다고 함 떠보자고! 어잉?
칼 내려놓으라구요!! 아저씨 이러다 진짜 큰일나요.!!
큰 일이 나든가 작은 일이든가 아줌마가 먼저 시비 건거니께 함 해보자고!"
1197,3,"우리 제발 평화롭게 하자.
싫어 나는 피바람부느게 좋아 누구하나는 죽어야 맘 편할 것 같아.
우리가 이럴수록 피해보는건 무고한 사람들이야.
그러니까 빨리 니가 죽어 그럼 무고한 사람들이 더 이상 희생을 당할일은 없겠지.
제발 정신 좀 차려. 예전으로 돌아오란말이야.
예전 예전이 얼마나 끔찍했는지 넌 몰라. 매일매일이 죽고싶을 정도였다고
아니 지금이 더 그래 지금은 너가 죽는거 밖에 안남았잖아.
너가 죽을 수 있어. 내가 지금 가지고 있는 이 총으로 너를 쏘면 되거든
우리 총말고 대화로 이야기하자.
싫다니까 한번만 대화이야기하면 방아쇠 당길거야."
1200,3,"혜주야.난 너 없으면 못 살아.
오빠. 왜 이래.응? 진정해봐.
혜주야. 제발 나 버리지마.혜주야.
이거 놔.나 정말 장난으로 한 말 아니야.오빠.응?
야! 김혜주.! 너 진짜 너 죽고 나 죽는 꼴 보고싶어서 그래!? 어!?!?
꺄악.! 오빠 그. 그 칼 내려놔. 그 . 그걸 왜 들고 온거야.!!
니가 내 연락도 씹고 나 보려고도 안하고 어? 내가 너 없이 살 이유가 없어. 너도 나 없으면 살 이유도 없다고.!!!! 
오.오빠.이러지마.어.? 가까이 오지마.신.신고할거야.!
신고? 그래? 신고하자. 어디 어차피 너 죽고 나 죽어 있을텐데 와서 시체나 치우라고 해. 이리 안와!?
살.살려주세요.!!!!"
1206,3,"장기털리기 싫으면 내주차자리에 주차하지마
뭐? 뭔개소리야이건
내가 여기 내주차자리라고햇지
아파트 주차공용구역이 니꺼냐?
너 몇호인지 가족들 누구인지 다안다
어쩌라는거야 너 신고한다
다 납치해서 신체털리기싫으면 좋은말할때차대지마
내가 그깟협박에쫄거같냐
좋게말로할때 쳐들어라
신고한다지금"
1219,3,"어떻게 너 같은 애가 우리 오빠랑 결혼을 할 수가 있어?
선아야. 무슨 말을 그렇게 해. 나 너희 오빠 정말 사랑해. 너희 오빠도 나 사랑한다고 했고.
아니? 우리 오빠가 너같은 거 불쌍해서 그러는거야.
불쌍하다니. 아니야. 우리 정말 진심이야 선아야. 제발 받아주라.
난 너 같은 거 절대 못 받아줘. 인정 못한다고 !
내가 어떻게 해야. 날 받아줄거니.?
우리 오빠가 널 정말 사랑한다고? 니가 평생 한 쪽 손을 쓸 수 없어도 사랑해줄까?
그게 갑자기 무슨 말이야. 내가 왜 손을 못 써.
내가 널 받아주려면 니 손가락 하나라도 내가 못쓰게 만들어도 날 미워하지 않을 수 있는지 봐야겠어.
이.이거 놔. 갑자기 왜 이래. 선아야. 제발 우리 말로하자.응?
닥쳐. 움직이지마. 잘못하면 손가락 하나가 아니라 정말 니 손을 다 못쓰게 될 거니까. 아저씨 지금 그냥 내려 쳐주세요.
아.안돼! 제발 .!"
1220,3,"너 이거 안하면 맞을줄알아
할게요
지금 당장해 10초안에 안하면 한대씩추가
네
가만안둔다고했지? 죽고싶냐
죄송합니다
한개 맞아야 정신차리지 대가리 날려버린다
죄송해요
사지 멀쩡하게 돌아가려면 똑바로해
네"
1222,3,"돼지야 너 돼지잖아. 돼지야 오늘 꿀꿀소리 내가 따줄게
갑자기? 왜. 우리 그동안 둘도 없는 친구였잖아.
친구? 이게 친구같은 소리하네 내가 언제 너랑 친구였냐 친한척 해주니까 이게 기어오르네?
머? 왜그래 갑자기. 우리 우선 나가서 이야기하자. 설마 내가 어제 너 부탁 거절해서그래?
내가 그걸로 찌질하게 그러겠냐? 너 내가 살빼게 해줄게 이 약 먹어봐봐.
무슨약인데? 이거 살빼는 약이야?
살빼는 약이야. 이거 먹으면 너의 피가 다 뿜어져 나올거야
뭐? 그거 독약아니야?
맞어 독약. 그거 먹어 빨리
갑자기 왜그래 앞으로 부탁 거절안할게 우리 사이좋게 지내자 어?
이미 늦었어 그러니까 기회줄떄 잘했어야지."
1227,3,"뭘 꼬라봐?
 왜 시비세요?
 끝까지 꼬라보네? 눈깔 뽑히고 싶냐?
 아니 한번 쳐다봤다고.
 니 어디 사냐? 오늘 니 집 좀 알아야겠다
 왜 그러세요. 경찰 부르기 전에 그만하세요
 불러봐! 부르는 순간 넌 나한테 죽는거야
 그만하고 가주세요. 죄송합니다
 새끼가 까불고 있어. 뒤지기 싫으면 눈 잘 깔고 다녀라
 예. 죄송합니다"
1231,3,"오빠 나랑 헤어질거야?
우리 이제 그만 만기로 했잖아
나는 정리가 안되는데 너는 참 쉽다
미안하다
왜? 이번에 회사에서 새로 들어온 신입이 그렇게 이쁘디?
무슨소리야?
내가 어제 너 기다리는데 둘이 아주 껴안고 퇴근하더라? 거기가 길바닥인지 모텔인지
미안하게 됐다.
아니 미안할 필요 없어 내가 쫓아가서그년 집어딘지 알았으니까 그년 가만안둘거야
혜주야 미안하다 제발 그러지마라 다 내가 잘못했다"
1232,3,"손 들어
누구세요.?
손 들라고. 총으로 쏴버리기 전에.
네.? 누구신데 저한테 왜이러시는 거에요.
잔말말고 내가 하라는 대로 해.
네.
거기서 한 발자국이라도 움직이면 바로 쏴버릴줄 알아.
대체 무슨 이유로 이러는지 말씀해주시면 안될까요.
알면 다쳐. 아무 말도 하지말고 하라는 대로나 해.
네 알겠습니다."
1233,3,"야 너네집 엄청 작다며? 이정도 차면 너네집 정도 크기겠는데?
 어어? 아니야. 우리집 이것보다 커
우리집이 이 차보다 크데 이게 고시원보다도 큰 찬데 너 아직 정신 못차렸구나 거기서 갖혀있으면서 생각 좀 해봐 뭘 잘못했는지
아니야 애들아 내가 미안해 내가 잘못했어.
아니야 넌 잘못한거 없어 우리 앞에 나타난게 잘못이지.
제발 살려줘 얘들아 문을 왜 잠그는거야.
문이 잠겼어? 그럼 열고 나와. 곧 그차 폭발하거든 그러니까 살고 싶으면 그 전에 나와야겠네?
제발 부탁이야 꺼내줘. 앞으로 안 나타날게
거기에 갖히는 것도 안나타나는 방법이야. 어디한 번 잘 빠져나와봐.
제발 살려줘 애들아."
1236,3,"어제 누구랑 같이 있었어?
친구랑 얘기하고 밖에서 놀다보니 전화온 줄 몰랐어.
전화 온 줄도 모를 정도면 남친인 나를 개무시 하는거잖아.
그 정도로 왜 흥분하고 그래?
흥분? 너 딴 놈 생겨서 거짓말 하는거 아니야?
뭐라고? 날 그 정도로 밖에 생각 안하는건 너 아냐?
이런 신뢰조차 없는 너랑 계속 만날 수는 없어!
니가 지금 다른 놈이랑 바람 펴놓고 나랑 헤어지자는 거야? 말 똑바로 해. 입찢어버리기 전에
너나 말조심해.무슨 그런 표현을 나한테 쓰니? 정말 끝이야.
헤어지자고? 그게 니 마음대로 될 줄 알아? 너희 부모님 안녕하시지? 너희 집 앞에서 내가 매일 문안인사드려야겠네.
뭐라고? 지금 협박하는거야?
아니.잘난 부모님께 당신딸 교육부터 잘 시키라고 조용한 곳에서 내가 제대로 알려드려야지
너 당장 그말 취소 안하면 경찰에 신고할거야
병원부터 잘 알아놔둬.두다리로 못 걸어갈거야"
1243,3,"이번에 뇌물 받으신 거 다 알고 있습니다.
그래서 어쩌려고?
여기 녹취록이랑 출금 내역입니다.
원하는 게 뭐야?
저희 이번에 아파트 건설 들어가는 거 아시죠?
시청 옆 부지 말하는 건가?
이번에 규제 하나 때문에 몇억이 더 들게 생겼거든요.
그냥 넘어가 달란 이야기인가?
그렇지 않으면 지금 바로 이것들 기자한테 넘기고 죽일 수 밖에 없어요
알겠네. 받아들이겠어"
1250,3,"사모님 이 건물 이번 내진 평가에서 1등급 받은 건물입니다. 선택하시면 후회 없으실겁니다.
네? 사모님 저희 과장님이 착각하신거 같은데 이 건물 내진 평가에서 4등급 받았어요. 그 전집이랑 착각하셨나봐요.
아닌데? 이 건물 1등급 받은거 맞아 황대리 밖으로 잠깐 나와보게 할 말 있으니까.
네. 사모님 여기서 잠시만 기다려 주십시오.
야 너 미쳤냐? 니가 뭔데 내 말에 끼어들어서 아니다 라고 얘기해? 어쩌피 저런 애들은 그런거 몰라. 그냥 대충 얘기하고 넘어가면 된다고 왜 초를 치고 그래.
그래도 이런건 말해주는 게 맞죠. 나중에 서류보면 나올텐데 그리고 4등급이면 꽤 높은겁니다.
야 니가 집사면 4등급이 좋겠냐 1등급이 좋겠냐? 그리고 내가 착각했다 그러면 저 사람이 날 믿겠어?
전 착각하신 줄 알고 다시 말씀드린겁니다. 기분 나쁘셨다면 죄송합니다. 그래도 이런건 말씀 제대로 드려야죠.
야 너 적당히 나대. 죽고 싶냐? 내가 하. 야 너 딱 기다려. 야 너 떨어져 이리와 알아서 떨어진 척 해. 너 죽여버릴테니까
왜이러세요 밀지 마세요. 말 안 할게요 말 안할테니까 제발 밀지마세요."
1258,3,"너 왜 어제 연락이 없었어.
어제 바빠서 그랬어. 왜 또 그래?
내가 분명 말했지. 내가 전화 걸면 바로 받으라고.
사람이 바쁘면 신경 못 쓸 수도 있지.
이런 일이 한 두번이니? 왜 저녁에 바빴는데?
아 너랑 말 섞기 귀찮다. 해명하는 것도 이제 지쳐.
너만 지쳐? 너 남자 만났지?
그건 또 무슨 소리래. 말 걸지마.
너 그 핸드폰 내놔. 손목 부시기 전에 내놔.
왜 말을 그런 식으로 해? 싫어."
1262,3,"인마 항상 그런식이야. 죽고싶나?
조금만 더 시간을 주시면.
넌 안되겠다. 넌 이세상 하직하고 싶은 모양인데 
아 아닙니다
이새끼가 어디서 말을 끊어. 세상 하직하고 편히 쉬게 해줄께
아닙니다. 이번만 봐주세요 내일까지 꼭 구하겠습니다
이게 끝까지 .너 생매장 당해볼래?
한번만 더 믿어 주세요 꼭 약속 지키겠습니다
하루만 딱 기다려준다 실망시키지마
알겠습니다"
1264,3,"다리 하나 분질러야 정신차리겠어?
 다 살자고 이러는거 아닙니까
난 알 바가 아냐. 그러니 하란거나 제대로 해!
 아유 선생님 이게 제 의지대로 안돼요
 미친새끼 그거조차 못하면 닌 등신이야?
 죄송해요
 이것 조차 못하면 담엔 다리로만 안끝난다.
 그럼 어디를.
 그따위로 하면 재미없을 줄만 알라고
 알겠습니다."
1275,3,"너지? 나 신고한 사람이?
 무슨 말인지 모르겠네요.
 니가 주차위반이라고 신고했잖아!
 제가 그랬단 증거있어요?
 그럼 너 밖에 더 있어? 맨날 내 훼방만 놓잖아.
 제가 안그랬고 만약 그랬어도 본인 잘못이잖아요 남의 집 앞에 불법주차하셨잖아요.
 야 잠깐 주차한 것 가지고 신고를 해?
 잠깐이 아니잖아요 전화도 안받고 차도 안빼고 남의 집 앞에서 그러시면 안되죠.
 내가 이 동네 토박인데 니가 뭔데 이래라 저래라야 너 몇 살이야? 아주 이번에 박살을 내버릴거야! 너 조심해 수틀리면 너 죽고 나 죽는 거야!!
 무슨 말을 그렇게 무섭게 하세요."
1277,3,"저기요 이제 그만 나오셔야죠 자식들 걱정하잖아요
나 코로나 전염 안됐다니까 왜들 그래
지금 자식들 검사 다 받으셨어요 이제 어머님만 검사 받으시면 돼요
내가 확진될리가 없다니까 그러네 썩꺼져
어머님 사람들 한테 다 전염 시키고 싶으세요 일단 모르니까 검사 받자고요
아니 어디서 철밥통 주제에 언성을 높혀 
어머님 자꾸 이러시면 강제로 데려 갈수밖에 없어요
이게 뭐가 어쩌고 저째 만약 내가 감염 됐다면 너도 감염시켜줘
어머님 진정하세요
시끄러워 일로와 이 녀석아 전염 시켜줄게
야 피해 도망쳐 경찰 경찰 불러"
1285,3,"정말 왜 그러세요.
 재밌잖아. 너가 아파하면 희열을 느껴
 신고할거에요
 해봐 하면 네 몸뚱아리를 칼로 갈기갈기 찢어버릴테니까
 죄송해요.
 죄송할 건 없어. 어차피 오늘이 마지막이 될테니까 죽어버려
 제가 뭘 그렇게 잘못했다고 그러세요.
 그냥 맘에 안들어서
 원하시는대로 다 할게요
 원하는대로?"
1289,3,"어머 오빠 쟤 왜 이리 뚱뚱해?
그러게 관리를 전혀 안했네 쟨 분명 솔로다 백퍼센트 솔로
더러워 진짜
야 니네 뭐라했노
네? 딴 사람한테 했는데 혹시 찔리세요?
아 니네 시비거는 거구나 빨리 알았어야 했는데
어머 칼이야! 도와주세요 누가 도와주세요
야 주변 얘들한테 말한다 걔들 죽이는데 방해하면 니들도 확마 찔리는 수가 있다
그만 안하세요? 지금 뭐하시는 거에요 우릴 찌르면 당신 인생도 무사하지 못해
나 이미 교도소 몇 번 갔다 와봤다 그라고 한국에서 사람 한 명 죽인다고 사형 안 당하니까 걱정 없다
제발 살려주세요 잘못했어요
시끄럽다 너네 사람 잘못 건들었데이"
1297,3,"너 바람폈지?
아니 안폈는데
나에게 증거사진이 있어
무슨증거?
자 이거봐 이거 너 맞잖아
뭐야 몰래 촬영하는건 불법이야 내놔
범죄자가 무슨 말이 많아.
범죄자라니
너 이거 주변사람들에게 다 퍼뜨릴꺼야 넌 이제 끝났어
너 협박죄로 고소할거고 사진 어서 내놔"
1298,3,"저기요 아저씨.
 누구? 나 말하는 건가?
 네 아저씨 말하는 거예요.
 나 아저씨 아닌데. 왜?
 편의점에서 담배 좀 사다주세요. 돈 줄게요.
 학생 아니야? 담배 피면 안되지.
 학생이든 아니든 무슨 상관인데요. 돈 준다니까요.
 안돼 미성년자는 담배 피면 안돼.
 아 나 좋은 말로 하려했는데 꼭 칼로 협박해야겠어?
 칼이라니. 그거 내려놔!!"
1303,3,"너 또 내말 무시하냐?
 이새끼 널 좆으로 보나본데?
아냐 진짜 시간이 없었어 미안해
너 오늘 죽자
살살해
미안해 오늘은 꼭 해올께
됐어 기회는 끝났어
이러지마 진짜 미안해
야 칼은 어디서났어?!
이새낀 말로하면 들을생각을 안하지?"
1312,3,"너 내 지갑에 손댔지? 내 돈 내놔.
 아니에요.
 봐봐. 돈 여기 있잖아. 속옷속에 숨겨놓으면 못찾을 줄 알았어?
 그거 제돈이에요.
 어디서 개구라를 쳐? 맞아야 정신차리지? 이거 습관성이야.
 저 도벽없어요.
 어라? 이딴식으로 나오겟다? 너 정신머리가 글러먹었구나?
 죄송해요.
 일로와. 너 죽여버릴거야. 죽어야 정신차리지.
 정신 차릴게요. 죄송해요."
1314,3,"내가 요번주 내로 돈 보내라고 했는데 아직 안 보냈네?
죄송합니다.다음주까지는 꼭 드리겠습니다.
다음주까지도 돈을 못 구하면 어쩔거야?
꼭 드리겠습니다.
못주면 그때는 신체포기각서 쓰고 장기라도 팔거니까 알아둬.
제발.안됩니다. 조금만 더 기다려주세요.
기다려주는데도 한계가 있어.
알겠습니다.다음주까지 꼭 구해보겠습니다.
여유부리지 마 네 가족까지 위험해질 수도 있으니까
네"
1326,3,"회사에 대한 글 당장 지워
 제가 제 마음대로 글도 못씁니까?
 좋은말로 할때 당장 글 지워
 아니 제가 직접 겪은 일은 쓴건데 내리라마라 하십니까
 너 이런글 쓴거 내가 이업계에 다 소문내서 너 다시는 취업못하게 할꺼야
 아니 글쓰는 자유를 이렇게 협박하셔도 되는겁니까
 내가 이 업계 사장들 다 아는거 알지? 그리고 너 동생도 지금 취업준비중이랬지? 이름이 김나리랬나
 내동생은 건드리지마세요
 동생한테 폐끼치기 싫으면 빨리 글 내려 그러면 조용히 없던 일로 해줄테니꺼
 비겁하게 가족은 건드리지 마십시오
 알겠어 그러면 너죽고 나죽자 너동생이랑 너랑 다 일자리 구하기는 글렀다 생각해
 그런 협박이 통할 것 같습니까? 어림도 없습니다 저 이거 다 녹음해서 협박죄로 고소할겁니다
 부모님 입원해있는 병원 주소도 알고있어 너네 엄마 내가 납치할꺼야 아주 고통스럽게 죽일꺼야 너가 글 삭제할때까지"
1328,3,"그 총 당장 내려놔!!
그럴 순 없어요.
너무 감정적으로 생각.
감정적? 감정적이라고? 하. 내 인생 짓밟아놓고
알겠어. 네 말 무슨 말인지.
알긴 뭘 알아!!!! 아는 사람이 나한테 그래? 어? 어떻게 그럴 수 있어?
우리도 그렇게 될 거라고 생각 한건 아니야 진정해. 그저 운이 없었다고 생각해
당신한텐!!!! 그게 그저 운이 없는 일에 불과해요? 남의 슬픔이 당신한텐 그저 운에 불과하냔 말야!!
제발 내가 어떻게 하면 네 화가 풀리겠니
아무것도 하지마. 내가 똑같이 돌려주지는 못해도 당신 하나로 인해 주위사람 인생이 어떻게 망가져 가는지 죽어서 두 눈으로 봐. 아무것도 할 수 없는 처절함에 몸부림 쳐 보라고. 그게 당신이 내게 받은 죗값 치루는 일이야. 탕!"
1332,3,"어이 길동이. 내일이면 만기일인데 돈은 준비 됐나?
제발 며칠만 더 시간을 주십시오.
수입도 없으면서 무슨 베짱으로 돈을 빌린건가.
조금만 기다려주시면 갚을 수 있습니다.
조금만? 그게 지금 몇 번째야!!!
죄송합니다 .
돈이 없으면 몸으로라도 떼워야지.
네??? 
다음달까지 못 갚으면 장기라도 떼어갈테니 건강관리 잘 해두게.
.무슨 일이 있어도 마련하겠습니다."
1338,3,"여보 식사하세요
어 지금 가.
여보 오늘도 고생 많았어요.
왜이래? 밥이나 먹어.
당신 근데 견과류 알러지 있다고 했죠?
어. 먹으면 목이 부어서 숨이 안쉬어져. 그래서 어릴 때 이 후로 한 번도 먹어본 적없어. 왜?
아니에요. 나도 당신 만나고 견과류 먹어본 기억이 없어서.
내가 안먹으니 너도 안먹어야지. 말이라고 해?
알죠. 그래서 지금까지 안먹었잖아요 근데 여보 오늘 샐러드 드레싱 어때요 ? 땅콩 좀 갈아 넣어봤는데
.윽.뭐야? 당신.일.일부러. 윽 . 살려줘.약.약!!.켁.
여보 그 동안 고마웠어요 그러게 내가 원하는 대로 해줬으면 좋았잖아.잘가요 여보"
1342,3,"우리 이제 그만 헤어져
난 그럴수없는데
이제 지쳤으니 정리하고 싶다고
난 그럴맘이 없는데 헤어지자면 나쁜맘을 먹는수밖에
억지쓰지말고 헤어져줘요
정 그렇게 하고싶다면 난 널 지구끝까지 따라가서 죽여버릴거야
말도 안되는 소리하지말고 날놓아줘요
내가 장난같아? 염산테러도 난 무섭지않다고
제발 그러지마요
나와 헤어지겠다면 난 널 정말 무슨수를 써서라도 죽여버릴테니 명심해"
1343,3,"어이 아가야 
네.? 누구세요 . 아저씨.?
아 나 니네 아빠 친구야. 많이 컸구나?
아빠 친구요.? 안녕하세요.!
그래 그래. 근데 너네 아빠가 왜 그러시는 지 모르겠는데 아저씨를 피하네?
아빠가.요즘 바쁘신지.제가 말씀드려볼게요.!
그래. 착하지. 아빠한테 가서 전해드려. 당장 내 눈앞에 나타나지 않으면 다시는 이쁜 딸 못본다고.
네.?저요.?
너랑 니네 아빠랑 물 속에 빠져서 시체가 팅팅부어서 형태도 못알아보게 만들기 전에 가서 전하라고!
흐윽.아저씨 . 왜.왜이러세요."
1350,3,"내가 어디까지 봐줘야해!?
미안해. 다음부턴 안 할게
항상 미안해 다신 안그럴게 이젠 지겨워
그러면 사귀는 동안 너도 그렇게 떳떳한부분 없잖아!
하 어디서 큰소리야!
항상 나만 미안해하고 내가 사과하고 이젠나더 지겨워!
너가 그러면 내가 쫄아서 사과할거 같아?
너! 내가 죽여서 아무도 못 찾는곳에 묻을거야!!
하. 진짜 쓰레기다.
내가 진짜 못 할거같지!? 진짜 죽일거야."
1355,3,"제발 내 부탁 좀 들어줘.
 길동아 지금까지 니가 하고싶은대로 했잖아.
 그게 무슨소리야? 지금까지 엄마아빠가 해준게 뭐있는데!!!
 니가 해달라는거 다 해주다가 이번에도 사고쳐서 또 수습하느라 애먹었잖아.
 됐어. 안해주면 나 죽어버릴거야.
 너 미쳤어? 왜그러는데??
 그래 그냥 여기에서 뛰어내리면 되겠네. 말리지마.
 이리 안와???
 아니 어차피 내 부탁 못들어줄거면 그냥 거기 있어. 난 그냥 죽을테니까.난간에 매달려서 뛰어내리려는 시늉을 한다
 알겠어 뭔데???"
1356,3,"너 왜 내욕하고 다니냐?
 무슨소리야.
 한테 다들었어 너 뒤에서 내욕하고 다닌다며.
 그런적없어.
 그럼 니가 쳐 뱉지도 않은 말이 저절로 생겨서 내 귀에 들어온거냐? 말이 되는 소리를 해라.
 오해가 있는 모양인데.
 아 들을 필요 없고 너 앞으로 한번만 내 귀에 그소리 들어오면 진짜 가만안둔다.
 .아니.
 죽고싶으면 입 함부로 나불거리고 다녀. 알겠냐? 한번만 더 그런소리 들리면 진짜 뒤질때까지 팬다.
 아오 확 입을 찢어버릴수도 없고.
 .나 정말 아니야."
